iteration,start_time,end_time,duration_sec,freq_mhz_start,freq_mhz_end,exit_code
1,2026-02-25 07:34:32,2026-02-25 07:39:00,268.4,2500,2500,0
2,2026-02-25 07:40:00,2026-02-25 07:42:48,168,2500,2500,0
3,2026-02-25 07:43:46,2026-02-25 07:46:38,171.3,2500,2500,0
4,2026-02-25 07:47:36,2026-02-25 07:50:53,196.6,2500,2500,0
5,2026-02-25 07:51:52,2026-02-25 07:55:14,202.1,2500,2500,0
6,2026-02-25 07:56:12,2026-02-25 07:58:58,165.5,2500,2500,0
7,2026-02-25 08:00:00,2026-02-25 08:03:14,193.7,2500,2500,0
8,2026-02-25 08:04:40,2026-02-25 08:11:06,386.1,2500,2500,0
9,2026-02-25 08:12:16,2026-02-25 08:15:31,195.3,2500,2500,0
10,2026-02-25 08:16:37,2026-02-25 08:19:42,185.1,2500,2500,0
